"","ery1","ery2","ery3","ebMac1","ebMac2","ebMac3","spMac1","spMac2"
"Fut4-ps1",0,0.93312003179009,0,0,0,0,0,0
"Fut7",0,1.86624006358018,0,24.8533052834561,18.6565813620654,19.1273966195951,35.3986597906298,21.6794019965268
"Fut8",129.506100847627,171.694085849377,178.353264514603,398.875178237763,530.083819652335,403.479800390705,136.537687763858,187.888150636565
"Fut9",0,0,0,0,0,0.360894275841418,0,0
"Fuz",403.022985837815,463.760655799675,393.957527313901,174.380568218348,147.179697411849,142.192344681519,176.993298953149,252.926356626146
"Fv1",30.0454153966495,27.9936009537027,24.8339988564637,23.223580346836,29.0213487854351,19.4882908954366,0,0
"Fxc1",136.758442495094,118.506244037341,110.059767659328,143.008363188411,139.776292109442,143.635921784884,996.219425536295,924.987818518475
"Fxn",271.444787376626,253.808648646905,252.855261083994,164.602218598627,153.990830290064,186.582340610013,70.7973195812596,166.208748640039
"Fxr1",886.857778604549,919.123231313239,969.090364467003,519.474823547648,522.976550562024,555.416290519942,343.872695108975,368.549833940955
"Fxr2",807.082020482411,765.158426067874,824.601643847578,476.694543961371,467.006806475828,466.275404387112,793.941369589839,715.420265885383
"Fxyd1",0,0,0,2.03715617077509,0.888408636288829,3.60894275841418,25.284756993307,50.5852713252291
"Fxyd2",0,0,0,0,0.296136212096276,0,0,86.7176079861071
"Fxyd3",0,0,0,0,0,0.360894275841418,0,0
"Fxyd4",4.14419522712406,0,0,0,1.18454484838511,0.360894275841418,0,0
"Fxyd5",0,0.93312003179009,1.12881812983926,126.711113822211,176.793318621477,131.365516406276,1329.97821784795,1821.06976770825
"Fxyd6",0,0,0,0,1.77681727257766,0,45.5125625879526,36.1323366608779
"Fxyd7",0,0,0,0,1.48068106048138,0.360894275841418,0,0
"Fyb",433.068401234465,438.566414941342,381.540527885669,176.417724389123,183.308315287595,183.33429212744,15479.3282313025,15818.7369901324
"Fyco1",219.642347037575,218.350087438881,238.745034461003,161.750199959542,189.527175741617,143.996816060726,247.790618534408,368.549833940955
"Fyn",5.18024403390508,2.79936009537027,3.9508634544374,269.312045776467,292.582577551121,246.85168467553,1739.59128113952,1351.34939111684
"Fyttd1",47.6582451119267,90.5126430836387,64.3426334008377,277.053239225412,280.73712906727,275.723226742843,207.335007345117,79.4911406539315
"Fzd1",0,0,0,10.1857808538755,15.9913554531989,10.4659339994011,0,28.9058693287024
"Fzd10",0,0,0,1.22229370246505,0.888408636288829,0.721788551682835,0,0
"Fzd2",0,0,0,0.407431234155018,5.92272424192553,2.16536565504851,0,0
"Fzd3",0,0,0,5.70403727817026,12.4377209080436,7.21788551682835,5.0569513986614,0
"Fzd4",0,0,0,13.4452307271156,13.918401968525,11.1877225510839,0,0
"Fzd5",111.89327113235,113.840643878391,124.169994282318,227.3466286585,220.32534179963,203.183477298718,35.3986597906298,50.5852713252291
"Fzd6",0,0,0,20.3715617077509,25.1715780281835,16.6011366887052,0,0
